type,approved_id,approved_time,approved_labels,approved_heroes,approved_result,pipeline_id,pipeline_time,pipeline_labels,pipeline_heroes,pipeline_result,detail,approved_comment
approved_comment,18,01:58-02:03,控符,下符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 祈求者,祈求者反补水符,,,,,,人物错误，上符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 祈求者 祈求者反补上水符，拾取下水符,人物错误，上符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 祈求者 祈求者反补上水符，拾取下水符
approved_comment,24,04:20-04:39,小规模冲突,天辉：小小、巫妖、电炎绝手；夜魇：拉比克、祈求者、酒仙,击杀结果：天辉 0 - 0 夜魇；死亡：无,,,,,,人物错误，天辉方电炎绝手没有参与小规模冲突，只与祈求者对线,人物错误，天辉方电炎绝手没有参与小规模冲突，只与祈求者对线
approved_comment,37,07:55-08:00,控符,上符点附近： FLCN(天辉)： 朗戈; GLYPH(夜魇)： 无,神符刷新在另一侧,,,,,,地点错误，急速神符刷新在上符点,地点错误，急速神符刷新在上符点
approved_comment,40,08:05-08:10,控符,下符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 祈求者,祈求者反补急速神符,,,,,,地点错误，上符点附近： FLCN(天辉)： 朗戈、电炎绝手; GLYPH(夜魇)： 祈求者,地点错误，上符点附近： FLCN(天辉)： 朗戈、电炎绝手; GLYPH(夜魇)： 祈求者
approved_comment,47,09:14-09:27,小规模冲突 / 守塔团,天辉：小小、巫妖、朗戈、电炎绝手；夜魇：拉比克、祈求者,击杀结果：天辉 1 - 0 夜魇；死亡：09:27 拉比克,,,,,,人物错误，小小没有参与小规模冲突，酒仙TP并取消,人物错误，小小没有参与小规模冲突，酒仙TP并取消
approved_comment,51,10:08-10:22,小规模冲突,天辉：巫妖、朗戈、玛尔斯、电炎绝手；夜魇：拉比克、树精卫士、风行者,击杀结果：天辉 3 - 1 夜魇；死亡：10:18 朗戈、10:20 树精卫士、10:21 拉比克、10:22 风行者,,,,,,人物错误，祈求者参与小规模冲突，小天火支援,人物错误，祈求者参与小规模冲突，小天火支援
approved_comment,73,16:02-16:07,控符,"上符点附近： FLCN(天辉)： 巫妖, 电炎绝手; GLYPH(夜魇)： 无",电炎绝手罐装奥术神符,,,,,,人物错误，上符点附近漏了朗戈,人物错误，上符点附近漏了朗戈
approved_comment,79,17:18-17:25,小规模冲突,天辉：巫妖、朗戈；夜魇：树精卫士、风行者,击杀结果：天辉 0 - 1 夜魇；死亡：17:25 巫妖,,,,,,时间延长到17:35，天辉参与增加电炎绝手、玛尔斯，结果不变,时间延长到17:35，天辉参与增加电炎绝手、玛尔斯，结果不变
approved_comment,84,18:56-19:06,囤野/堆野,天辉：无；夜魇：风行者,,,,,,,风行者没有囤野,风行者没有囤野
approved_comment,85,19:26-19:31,控符,下符点附近： FLCN(天辉)： 电炎绝手; GLYPH(夜魇)： 无,电炎绝手拾取双倍神符,,,,,,地点错误，改为上符点,地点错误，改为上符点
approved_comment,100,22:20-22:41,开雾,天辉：小小、巫妖、朗戈、电炎绝手；夜魇：无,"使用: FLCN(天辉) 巫妖; 进入: 朗戈, 巫妖, 电炎绝手, 小小；位置：下路/下半区 raw=(134,93) game=(743,-4506)",,,,,,人物错误，电炎绝手没有进雾,人物错误，电炎绝手没有进雾
approved_comment,101,22:42-22:46,小规模冲突,天辉：小小、朗戈、电炎绝手；夜魇：拉比克,击杀结果：天辉 1 - 0 夜魇；死亡：22:46 拉比克,,,,,,巫妖在附近但是没有参与助攻,巫妖在附近但是没有参与助攻
approved_comment,102,23:06-23:40,肉山尝试,天辉：小小、巫妖、朗戈、玛尔斯、电炎绝手；夜魇：祈求者、酒仙,,,,,,,人物错误，少了风行者和树精卫士,人物错误，少了风行者和树精卫士
approved_comment,105,23:47-24:08,团战,天辉：小小、巫妖、朗戈、玛尔斯、电炎绝手；夜魇：拉比克、树精卫士、祈求者、酒仙、风行者,击杀结果：天辉 0 - 2 夜魇；死亡：23:56 玛尔斯、23:59 小小,,,,,,结果错误，击杀结果：天辉 0 - 3 夜魇；死亡：23:56 玛尔斯、23:59 小小、24:08 朗戈,结果错误，击杀结果：天辉 0 - 3 夜魇；死亡：23:56 玛尔斯、23:59 小小、24:08 朗戈
approved_comment,112,25:30-26:15,团战,天辉：小小、巫妖、朗戈、玛尔斯、电炎绝手；夜魇：拉比克、树精卫士、祈求者、酒仙、风行者,击杀结果：天辉 0 - 1 夜魇；死亡：25:55 电炎绝手,,,,,,击杀结果：天辉2-3夜魇，死亡：25:42 酒仙、25:55 电炎绝手、26:01 玛尔斯、26:14拉比克、26:14朗戈,击杀结果：天辉2-3夜魇，死亡：25:42 酒仙、25:55 电炎绝手、26:01 玛尔斯、26:14拉比克、26:14朗戈
approved_comment,119,28:28-28:50,小规模冲突,天辉：小小、朗戈、电炎绝手；夜魇：树精卫士、祈求者、酒仙、风行者,击杀结果：天辉 0 - 1 夜魇；死亡：28:50 小小,,,,,,团战，参与者漏了，天辉：小小、朗戈、电炎绝手。玛尔斯；夜魇：树精卫士、祈求者、酒仙、风行者、拉比克,团战，参与者漏了，天辉：小小、朗戈、电炎绝手。玛尔斯；夜魇：树精卫士、祈求者、酒仙、风行者、拉比克
approved_comment,125,30:08-30:12,小规模冲突,天辉：玛尔斯；夜魇：拉比克、树精卫士、祈求者,击杀结果：未记录英雄击杀；死亡：无,,,,,,人物漏了电炎绝手、巫妖,人物漏了电炎绝手、巫妖
approved_comment,130,31:55-32:00,控符,"上符点附近： FLCN(天辉)： 巫妖, 电炎绝手; GLYPH(夜魇)： 无",神符刷新在另一侧,,,,,,人物错误，天辉与夜魇均没有人物参与,人物错误，天辉与夜魇均没有人物参与
approved_comment,135,33:28-34:08,肉山团 / 团战,天辉：小小、巫妖、朗戈、玛尔斯、电炎绝手；夜魇：树精卫士、祈求者、酒仙、风行者,击杀结果：天辉 1 - 2 夜魇；死亡：33:44 巫妖、33:44 朗戈、33:47 树精卫士；目标：肉山相关,,,,,,结果错误，击杀结果：天辉 1 - 4 夜魇；死亡：33:44 巫妖、33:44 朗戈、33:47 树精卫士、33:52 电炎绝手、34:08 小小,结果错误，击杀结果：天辉 1 - 4 夜魇；死亡：33:44 巫妖、33:44 朗戈、33:47 树精卫士、33:52 电炎绝手、34:08 小小
approved_comment,141,36:03-36:03,资源获得,天辉：玛尔斯；夜魇：无,FLCN(天辉) 玛尔斯获得/放置战旗,,,,,,人物、结果错误。GLYPH（夜魇）拉比克放置战旗,人物、结果错误。GLYPH（夜魇）拉比克放置战旗
approved_comment,145,36:53-37:48,高地团 / 团战,天辉：小小、巫妖、朗戈、电炎绝手；夜魇：拉比克、树精卫士、祈求者、酒仙、风行者,击杀结果：天辉 3 - 2 夜魇；死亡：37:07 风行者、37:15 树精卫士、37:30 酒仙、37:36 巫妖、37:44 小小,,,,,,结果错误，击杀结果：天辉 3 - 3夜魇；死亡：37:07 风行者、37:15 树精卫士、37:30 酒仙、37:36 巫妖、37:44 小小、37:49 朗戈,结果错误，击杀结果：天辉 3 - 3夜魇；死亡：37:07 风行者、37:15 树精卫士、37:30 酒仙、37:36 巫妖、37:44 小小、37:49 朗戈
